Grapheme	IPA	Notes
𐌰	a	
𐌱	b	
𐌲	ɡ	
𐌳	d	
𐌴	eː	
𐌵	kʷ	
𐌶	z	
𐌷	h	
𐌸	θ	
𐌹	i	
𐌺	k	
𐌻	l	
𐌼	m	
𐌽	n	
𐌾	j	
𐌿	ʊ	
𐍀	p	
𐍁		
𐍂	r	
𐍃	s	
𐍄	t	
𐍅	w	
𐍆	ɸ	
𐍇	k7	
𐍈	hʷ	
𐍉	oː	
𐍊		
